userId,HitRatio,Precision@3,Recall@3,NDCG@3
1448,1,0.6666666666666666,0.02,1.0
3644,0,0.0,0.0,0.0
3018,1,1.0,0.046153846153846156,1.0
3507,1,1.0,0.05660377358490566,1.0
1501,1,1.0,0.0625,1.0
2185,1,0.3333333333333333,0.029411764705882353,1.0
3032,1,0.3333333333333333,0.009615384615384616,0.5654648767857287
1613,1,1.0,0.04225352112676056,1.0
4585,1,0.3333333333333333,0.027777777777777776,0.5654648767857287
5473,1,0.0,0.0,0.0
2698,0,0.0,0.0,0.0
4967,1,0.6666666666666666,0.2,1.0
2041,1,0.6666666666666666,0.038461538461538464,0.8065735963827292
1524,1,0.6666666666666666,0.09090909090909091,0.8065735963827292
692,1,1.0,0.047619047619047616,1.0
5359,1,1.0,0.0625,1.0
4565,0,0.0,0.0,0.0
5744,1,0.6666666666666666,0.05555555555555555,0.8065735963827292
2401,0,0.0,0.0,0.0
5758,1,0.0,0.0,0.0
5392,1,0.0,0.0,0.0
1442,1,0.3333333333333333,0.0625,1.0
1124,1,0.6666666666666666,0.07407407407407407,0.8065735963827292
1943,1,0.3333333333333333,0.022727272727272728,0.5654648767857287
1090,1,0.3333333333333333,0.2,1.0
4932,1,0.0,0.0,0.0
2572,1,0.3333333333333333,0.0625,0.5654648767857287
195,1,1.0,0.0410958904109589,1.0
1946,1,0.0,0.0,0.0
5755,0,0.0,0.0,0.0
2130,0,0.0,0.0,0.0
4961,1,0.3333333333333333,0.16666666666666666,0.5654648767857287
2552,1,0.0,0.0,0.0
1298,1,0.6666666666666666,0.037037037037037035,0.8065735963827292
1680,1,0.3333333333333333,0.007142857142857143,0.5654648767857287
2100,1,0.3333333333333333,0.03333333333333333,0.5654648767857287
859,1,0.0,0.0,0.0
3142,1,0.3333333333333333,0.09090909090909091,0.5654648767857287
3675,1,0.6666666666666666,0.03125,0.8065735963827292
4204,1,0.6666666666666666,0.06060606060606061,1.0
2873,1,1.0,0.1111111111111111,1.0
3521,1,0.0,0.0,0.0
1683,1,0.0,0.0,0.0
2753,1,0.6666666666666666,0.037037037037037035,1.0
2264,1,0.6666666666666666,0.07407407407407407,1.0
504,0,0.0,0.0,0.0
4600,1,0.6666666666666666,0.10526315789473684,1.0
