userId,movieId,rating,timestamp
1,2105,4.0,1260759139
1,1953,4.0,1260759191
2,150,5.0,835355395
2,296,4.0,835355395
2,590,5.0,835355395
2,592,5.0,835355395
2,153,4.0,835355441
2,349,4.0,835355441
2,10,4.0,835355493
2,253,4.0,835355511
2,110,4.0,835355532
2,47,4.0,835355552
2,50,4.0,835355586
2,266,5.0,835355586
2,39,5.0,835355604
2,454,4.0,835355604
2,480,4.0,835355643
2,17,5.0,835355681
2,261,4.0,835355681
2,265,5.0,835355697
2,350,4.0,835355697
2,589,5.0,835355697
2,509,4.0,835355719
2,500,4.0,835355731
2,527,4.0,835355731
2,551,5.0,835355767
2,273,4.0,835355779
2,468,4.0,835355790
2,515,4.0,835355817
3,1235,4.0,1298861628
3,3510,4.0,1298861633
3,1378,4.0,1298861658
3,2841,4.0,1298861733
3,2318,4.0,1298861753
3,318,5.0,1298862121
3,356,5.0,1298862167
3,48783,4.5,1298862361
3,296,4.5,1298862418
3,50068,4.5,1298862467
3,2959,5.0,1298862874
3,1884,4.0,1298863143
3,778,4.0,1298863157
3,3949,5.0,1298863174
3,2858,4.0,1298921825
3,2028,4.0,1298921862
4,1210,5.0,949778714
4,2734,4.0,949778714
4,1097,5.0,949778771
4,2018,5.0,949778771
4,289,4.0,949778802
4,858,5.0,949779022
4,260,5.0,949779042
4,541,5.0,949779091
4,1196,5.0,949779173
4,1198,5.0,949779173
4,1208,5.0,949779173
4,1219,5.0,949779173
4,1225,5.0,949779173
4,1214,5.0,949810261
4,1387,5.0,949810261
4,1953,5.0,949810261
4,1954,5.0,949810261
4,2640,5.0,949810261
4,2991,5.0,949810261
4,1371,4.0,949810302
4,1388,4.0,949810302
4,2409,4.0,949810302
4,2916,4.0,949810534
4,112,5.0,949810582
4,349,5.0,949810582
4,480,5.0,949810582
4,1356,4.0,949810582
4,2628,5.0,949810582
4,2723,5.0,949810582
4,2046,5.0,949810618
4,10,4.0,949810645
4,434,4.0,949810688
4,1917,4.0,949810688
