userId,movieId,rating,timestamp
342,2947,4.0,1178675661
342,910,4.5,1178675670
342,1060,4.0,1178675677
342,475,4.5,1178675707
342,1210,4.0,1178676008
342,1,4.0,1178676020
342,480,4.0,1178676025
342,2858,4.5,1178676035
342,457,4.0,1178676044
342,648,4.0,1178676047
342,6539,4.0,1178676051
342,318,5.0,1178676067
342,5952,4.0,1178676074
342,45722,4.0,1178676077
342,589,4.5,1178676084
342,296,4.5,1178676088
342,344,4.0,1178676092
342,593,4.5,1178676099
342,5989,4.0,1178676108
342,1196,4.0,1178676116
342,2959,4.0,1178676181
342,6711,4.0,1178676181
342,4027,4.0,1178676184
342,1198,5.0,1178676197
342,2028,4.0,1178676209
342,32,4.0,1178676218
736,318,4.0,1494433263
736,593,4.5,1494433270
736,112552,4.0,1494433271
736,2959,4.0,1494433278
736,296,5.0,1494433303
736,2571,4.5,1494433306
736,58559,4.5,1494433307
736,2858,5.0,1494433321
736,1193,4.5,1494433346
736,4993,4.5,1494433362
736,1214,4.5,1494433365
736,541,4.0,1494433367
736,5952,4.0,1494433370
736,1200,4.0,1494433376
736,356,5.0,1494433377
736,27773,5.0,1494433379
736,3147,4.5,1494433382
736,1258,5.0,1494433384
736,1036,4.5,1494433399
736,1994,4.0,1494433402
736,1270,4.5,1494433406
736,99114,5.0,1494433414
736,597,4.0,1494433421
736,4011,4.5,1494433422
736,480,4.5,1494433433
736,74458,4.5,1494433435
736,32,4.5,1494433441
736,106100,4.5,1494433443
736,293,5.0,1494433539
736,68237,5.0,1494433540
736,128360,4.0,1494433542
736,139385,4.0,1494433546
736,109487,5.0,1494433548
736,122882,4.5,1494433551
736,109374,4.0,1494433555
736,105844,4.0,1494433560
736,68157,5.0,1494433570
736,1206,4.5,1494433572
736,2692,4.0,1494433581
736,778,4.5,1494433590
736,111759,4.5,1494433592
736,924,5.0,1494433594
736,70286,4.0,1494433602
736,3499,5.0,1494433608
736,71535,4.0,1494433611
736,48516,4.0,1494433613
736,5618,4.5,1494433624
736,7438,5.0,1494433626
736,6874,5.0,1494433627
736,104879,4.0,1494433630
736,55820,4.0,1494433657
736,608,4.0,1494433661
736,82459,4.5,1494433666
736,1089,4.5,1494433668
736,1732,5.0,1494433672
736,8874,5.0,1494433673
736,52281,5.0,1494433675
736,8950,4.0,1494433679
736,53519,4.5,1494433682
736,32587,5.0,1494433700
736,4878,5.0,1494433702
736,47,5.0,1494433704
736,2997,4.5,1494433705
736,1333,4.0,1494433711
736,83134,4.0,1494433713
736,115713,5.0,1494433715
736,4226,4.0,1494433720
736,80219,4.0,1494433724
736,1997,4.0,1494433727
736,48774,4.0,1494433737
736,48394,4.0,1494433775
736,61240,4.0,1494433789
736,7361,4.0,1494433801
736,2542,4.5,1494433806
736,51255,4.5,1494433809
736,48780,4.0,1494433823
736,59369,4.0,1494433834
